JOBID,SUBMITTED_AT,RUNNING_AT,FINISHED_AT,WAIT_DURATION,RUN_DURATION
186,1282900400,1282912667,1282913063,12267,396
187,1282900559,1282912667,1282913063,12108,396
123,1282822679,1282869722,1282914361,47043,44639
190,1282900830,1282908737,1282915212,7907,6475
330,1282912673,1282913102,1282915279,429,2177
192,1282900921,1282909097,1282915407,8176,6310
74,1282759459,1282759472,1282915500,13,156028
184,1282900092,1282912097,1282916368,12005,4271
185,1282900174,1282912097,1282916368,11923,4271
194,1282901019,1282916372,1282916726,15353,354
195,1282901095,1282916372,1282916726,15277,354
196,1282901180,1282916732,1282917019,15552,287
197,1282901204,1282916732,1282917019,15528,287
121,1282821734,1282863857,1282917133,42123,53276
198,1282901275,1282917062,1282917196,15787,134
199,1282901558,1282917062,1282917196,15504,134
337,1282913365,1282915412,1282917332,2047,1920
202,1282901918,1282917212,1282917654,15294,442
203,1282901945,1282917212,1282917654,15267,442
200,1282901641,1282917182,1282917782,15541,600
201,1282901683,1282917182,1282917782,15499,600
208,1282908802,1282917812,1282918028,9010,216
209,1282908845,1282917812,1282918028,8967,216
204,1282907830,1282917377,1282918049,9547,672
205,1282907858,1282917377,1282918049,9519,672
206,1282907970,1282917692,1282918152,9722,460
207,1282908759,1282917692,1282918152,8933,460
340,1282918233,1282918247,1282918248,14,1
341,1282918251,1282918262,1282918263,11,1
342,1282918281,1282918292,1282918296,11,4
343,1282918302,1282918307,1282918310,5,3
298,1282910112,1282918172,1282918581,8060,409
299,1282910172,1282918172,1282918581,8000,409
344,1282918951,1282918952,1282918956,1,4
345,1282918951,1282918952,1282918956,1,4
346,1282918951,1282918952,1282918956,1,4
347,1282918951,1282918952,1282918956,1,4
300,1282910220,1282918622,1282919036,8402,414
301,1282910312,1282918622,1282919036,8310,414
188,1282900646,1282915787,1282919119,15141,3332
189,1282900788,1282915787,1282919119,14999,3332
302,1282910390,1282919057,1282919526,8667,469
303,1282910551,1282919057,1282919526,8506,469
304,1282910612,1282919147,1282920294,8535,1147
305,1282911233,1282919147,1282920294,7914,1147
307,1282911357,1282919537,1282920687,8180,1150
308,1282911440,1282919537,1282920687,8097,1150
309,1282911464,1282920302,1282921049,8838,747
318,1282911555,1282920302,1282921049,8747,747
319,1282911559,1282920692,1282921317,9133,625
335,1282913193,1282920692,1282921317,7499,625
120,1282819904,1282860707,1282923265,40803,62558
193,1282900946,1282911092,1282923502,10146,12410
339,1282913484,1282921337,1282924684,7853,3347
334,1282913089,1282923542,1282924684,10453,1142
336,1282913321,1282921067,1282925737,7746,4670
338,1282913449,1282921067,1282925737,7618,4670
106,1282811133,1282835897,1282942425,24764,106528
183,1282900006,1282906652,1282942532,6646,35880
333,1282912935,1282915307,1282947527,2372,32220
331,1282912767,1282914407,1282952888,1640,38481
182,1282899859,1282906142,1282953340,6283,47198
181,1282899731,1282906067,1282954084,6336,48017
180,1282899577,1282905377,1282954725,5800,49348
332,1282912851,1282915247,1282956289,2396,41042
107,1282811227,1282836767,1282956373,25540,119606
89,1282809753,1282809767,1282967071,14,157304
66,1282758939,1282758947,1282979523,8,220576
178,1282899327,1282905347,1282982584,6020,77237
353,1282976444,1282976447,1283000289,3,23842
354,1282976448,1283000312,1283013780,23864,13468
352,1282976441,1282976447,1283024770,6,48323
355,1282976451,1283013827,1283039837,37376,26010
356,1282976469,1283024792,1283074837,48323,50045
348,1282931963,1282931972,1283092700,9,160728
83,1282809307,1282809317,1283106756,10,297439
154,1282893659,1282893662,1283135986,3,242324
329,1282912585,1282918052,1283165972,5467,247920
85,1282809391,1282809392,1283167315,1,357923
369,1283170062,1283170067,1283175779,5,5712
368,1283166290,1283166302,1283182644,12,16342
373,1283172240,1283182682,1283185025,10442,2343
366,1283165533,1283165537,1283186665,4,21128
374,1283172431,1283185067,1283187713,12636,2646
377,1283172977,1283187752,1283192658,14775,4906
375,1283172536,1283186717,1283193040,14181,6323
376,1283172833,1283186717,1283193321,13884,6604
365,1283165434,1283165447,1283194818,13,29371
379,1283173473,1283193077,1283195945,19604,2868
383,1283181685,1283195987,1283196284,14302,297
385,1283181884,1283196317,1283196840,14433,523
386,1283181927,1283196872,1283197272,14945,400
387,1283182008,1283197307,1283197752,15299,445
388,1283182969,1283197787,1283198120,14818,333
380,1283174067,1283193362,1283198428,19295,5066
389,1283183308,1283198147,1283198435,14839,288
382,1283174201,1283194832,1283198538,20631,3706
381,1283174127,1283194832,1283198692,20705,3860
390,1283183440,1283198447,1283198764,15007,317
391,1283183471,1283198477,1283198985,15006,508
359,1283155718,1283155727,1283203306,9,47579
378,1283173125,1283192672,1283205230,19547,12558
371,1283171988,1283175827,1283207647,3839,31820
349,1282975235,1282975247,1283214548,12,239301
370,1283171816,1283175827,1283222899,4011,47072
364,1283165074,1283165088,1283231215,14,66127
372,1283172185,1283182682,1283238295,10497,55613
367,1283166092,1283166108,1283258051,16,91943
397,1283270658,1283270672,1283270701,14,29
398,1283270692,1283270702,1283270709,10,7
399,1283270888,1283270897,1283270903,9,6
402,1283271289,1283271302,1283271439,13,137
395,1283252522,1283252537,1283282411,15,29874
351,1282975316,1282975322,1283282815,6,307493
393,1283251958,1283251967,1283283193,9,31226
357,1283152657,1283152667,1283312012,10,159345
396,1283252719,1283252732,1283313970,13,61238
363,1283159055,1283159057,1283318985,2,159928
403,1283328841,1283328842,1283328850,1,8
405,1283328887,1283328902,1283328970,15,68
407,1283329198,1283329202,1283329208,4,6
406,1283329188,1283329202,1283329361,14,159
410,1283329251,1283329262,1283329475,11,213
408,1283329213,1283329217,1283329500,4,283
409,1283329222,1283329232,1283329554,10,322
404,1283328853,1283328857,1283331362,4,2505
413,1283330721,1283330732,1283334922,11,4190
414,1283336703,1283336717,1283336728,14,11
412,1283330581,1283330582,1283336980,1,6398
418,1283343477,1283343482,1283345150,5,1668
360,1283158324,1283158337,1283345328,13,186991
421,1283345367,1283345372,1283351571,5,6199
442,1283355347,1283355362,1283355367,15,5
417,1283337097,1283337107,1283357619,10,20512
425,1283354206,1283357642,1283358206,3436,564
426,1283354316,1283358242,1283358986,3926,744
427,1283354349,1283359007,1283359729,4658,722
450,1283360021,1283360027,1283360253,6,226
428,1283354431,1283359757,1283360355,5326,598
429,1283354467,1283360402,1283360711,5935,309
430,1283354509,1283360717,1283361233,6208,516
431,1283354587,1283361287,1283362175,6700,888
432,1283354624,1283362202,1283362470,7578,268
84,1282809328,1282809332,1283362529,4,553197
433,1283354788,1283362487,1283363011,7699,524
434,1283354859,1283363042,1283363428,8183,386
435,1283354881,1283363447,1283363866,8566,419
436,1283354947,1283363882,1283364382,8935,500
437,1283354978,1283364407,1283364723,9429,316
438,1283355059,1283364767,1283365363,9708,596
411,1283330013,1283330268,1283365397,255,35129
441,1283355227,1283365442,1283365448,10215,6
439,1283355098,1283365397,1283365772,10299,375
440,1283355187,1283365442,1283366114,10255,672
444,1283355388,1283365802,1283366661,10414,859
443,1283355351,1283365472,1283367557,10121,2085
445,1283355475,1283366162,1283367654,10687,1492
422,1283349052,1283349063,1283367771,11,18708
448,1283355620,1283367677,1283368655,12057,978
449,1283355686,1283367962,1283368706,12276,744
446,1283355509,1283366687,1283369087,11178,2400
447,1283355543,1283367587,1283369151,12044,1564
419,1283343482,1283343497,1283378210,15,34713
392,1283234936,1283345373,1283394073,110437,48700
415,1283336771,1283336777,1283410492,6,73715
456,1283416546,1283416547,1283416553,1,6
420,1283343488,1283343497,1283416828,9,73331
458,1283418039,1283418047,1283418834,8,787
459,1283418117,1283418122,1283418910,5,788
